m,TagName,
"2010-12-01 00:00:00","javascript","4952"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5350"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7976"
"2011-01-01 00:00:00","c++","3482"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6528"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","perl","476"
"2011-01-01 00:00:00","php","6373"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1632"
"2011-02-01 00:00:00","c#","8203"
"2011-02-01 00:00:00","c++","3434"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6851"
"2011-02-01 00:00:00","javascript","5590"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6667"
"2011-02-01 00:00:00","python","3006"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9965"
"2011-03-01 00:00:00","c++","4165"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","javascript","6755"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8039"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9250"
"2011-04-01 00:00:00","c++","4159"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7880"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7570"
"2011-04-01 00:00:00","python","3324"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1821"
"2011-05-01 00:00:00","c#","9962"
"2011-05-01 00:00:00","c++","3862"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8524"
"2011-05-01 00:00:00","javascript","7286"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8030"
"2011-05-01 00:00:00","python","3510"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1563"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1759"
"2011-06-01 00:00:00","c#","9714"
"2011-06-01 00:00:00","c++","3797"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7859"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7975"
"2011-06-01 00:00:00","python","3458"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9554"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8119"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8590"
"2011-07-01 00:00:00","python","3647"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","9999"
"2011-08-01 00:00:00","c++","3943"
"2011-08-01 00:00:00","delphi","421"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8629"
"2011-08-01 00:00:00","javascript","8862"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8831"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9235"
"2011-09-01 00:00:00","c++","3922"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8276"
"2011-09-01 00:00:00","javascript","8134"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7979"
"2011-09-01 00:00:00","python","3506"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2137"
"2011-10-01 00:00:00","c#","9149"
"2011-10-01 00:00:00","c++","4330"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8495"
"2011-10-01 00:00:00","javascript","7971"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7960"
"2011-10-01 00:00:00","python","3598"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9834"
"2011-11-01 00:00:00","c++","4447"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9562"
"2011-11-01 00:00:00","javascript","8597"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8591"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","1998"
"2011-12-01 00:00:00","c#","9239"
"2011-12-01 00:00:00","c++","4327"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9107"
"2011-12-01 00:00:00","javascript","8262"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8254"
"2011-12-01 00:00:00","python","3603"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1663"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2214"
"2012-01-01 00:00:00","c#","10305"
"2012-01-01 00:00:00","c++","4509"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10046"
"2012-01-01 00:00:00","javascript","9520"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9168"
"2012-01-01 00:00:00","python","4174"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2389"
"2012-02-01 00:00:00","c#","10656"
"2012-02-01 00:00:00","c++","5070"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10850"
"2012-02-01 00:00:00","javascript","9888"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9780"
"2012-02-01 00:00:00","python","4468"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2704"
"2012-03-01 00:00:00","c#","11456"
"2012-03-01 00:00:00","c++","5181"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12248"
"2012-03-01 00:00:00","javascript","10602"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10731"
"2012-03-01 00:00:00","python","4995"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","c","2655"
"2012-04-01 00:00:00","c#","10975"
"2012-04-01 00:00:00","c++","5258"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11889"
"2012-04-01 00:00:00","javascript","10559"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10238"
"2012-04-01 00:00:00","python","4880"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1948"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c","2464"
"2012-05-01 00:00:00","c#","11422"
"2012-05-01 00:00:00","c++","4946"
"2012-05-01 00:00:00","delphi","475"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12050"
"2012-05-01 00:00:00","javascript","11402"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10793"
"2012-05-01 00:00:00","python","5049"
"2012-05-01 00:00:00","r","872"
"2012-05-01 00:00:00","ruby","1954"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2301"
"2012-06-01 00:00:00","c#","11266"
"2012-06-01 00:00:00","c++","4624"
"2012-06-01 00:00:00","delphi","416"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","11034"
"2012-06-01 00:00:00","javascript","11179"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10479"
"2012-06-01 00:00:00","python","5257"
"2012-06-01 00:00:00","r","970"
"2012-06-01 00:00:00","ruby","1882"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2364"
"2012-07-01 00:00:00","c#","12282"
"2012-07-01 00:00:00","c++","5258"
"2012-07-01 00:00:00","delphi","437"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12210"
"2012-07-01 00:00:00","javascript","12292"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11668"
"2012-07-01 00:00:00","python","5713"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","c#","11923"
"2012-08-01 00:00:00","c++","5152"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12224"
"2012-08-01 00:00:00","javascript","12409"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11823"
"2012-08-01 00:00:00","python","5853"
"2012-08-01 00:00:00","r","1086"
"2012-08-01 00:00:00","ruby","2056"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2524"
"2012-09-01 00:00:00","c#","11251"
"2012-09-01 00:00:00","c++","4899"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11586"
"2012-09-01 00:00:00","javascript","11146"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10925"
"2012-09-01 00:00:00","python","5243"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3149"
"2012-10-01 00:00:00","c#","12697"
"2012-10-01 00:00:00","c++","5896"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13452"
"2012-10-01 00:00:00","javascript","12390"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11704"
"2012-10-01 00:00:00","python","6120"
"2012-10-01 00:00:00","r","1266"
